,Env_Var,Soc_Var,ESG_Var,Entreprise,Cluster_Var_KM,Cluster_Var_CAH
NVDA US Equity,0.07155963302752287,0.33577981651376143,0.12660550458715591,NVIDIA,2,4
AVGO US Equity,0.5951999999999998,0.1368,0.3516,Broadcom,3,1
TSM US Equity,0.12436363636363636,0.29454545454545444,0.1560000000000001,TSMC,2,4
GOOGL US Equity,0.13636363636363635,0.2018181818181818,0.16363636363636364,Alphabet,2,4
000660 KS Equity,0.16036363636363637,0.04909090909090911,0.1298181818181818,SK Hynix,4,2
LRCX US Equity,0.1038461538461539,0.09923076923076922,0.062307692307692314,Lam Research,4,2
6857 JP Equity,0.21196261682242998,0.5495327102803739,0.3734579439252336,Advantest,1,3
TSEM IT Equity,0.3250909090909091,0.24327272727272725,0.25309090909090914,Tower Semi,3,1
MSFT US Equity,-0.10730769230769226,0.2769230769230768,0.11884615384615388,Microsoft,2,2
LITE US Equity,0.11650485436893204,0.3483495145631068,0.2353398058252427,Lumentum,2,4
AMD US Equity,0.15709090909090903,0.28036363636363637,0.19090909090909092,AMD,2,4
FN US Equity,0.3927272727272728,0.054545454545454515,0.14181818181818182,Fabrinet,3,1
SNOW US Equity,0.0,0.0,-0.002448979591836686,Snowflake,4,2
MU US Equity,0.1793069306930693,0.4194059405940594,0.22257425742574255,Micron,2,4
TSLA US Equity,0.324,0.20509090909090905,0.21599999999999997,Tesla,3,1
9984 JP Equity,0.5349532710280374,0.0325233644859813,0.17046728971962619,SoftBank,3,1
CRDO US Equity,0.35294117647058826,0.29294117647058826,0.27882352941176464,CREDO Tech,3,1
ENR GR Equity,-0.13358490566037742,0.22415094339622646,0.0520754716981133,Siemens Energy,4,2
MPWR US Equity,0.54,0.09490909090909092,0.2792727272727273,Monolithic Power,3,1
2383 TT Equity,-0.21473684210526306,0.7073684210526316,0.14526315789473698,Elite Material,5,5
CLS CN Equity,0.34363636363636363,0.5105454545454545,0.34800000000000003,Celestica,1,3
META US Equity,0.5094545454545454,0.13745454545454544,0.2127272727272728,Meta,3,1
AMZN US Equity,0.4287272727272727,0.18872727272727274,0.26945454545454545,Amazon,3,1
