Ticker,Env_Score,Soc_Score,ESG_Score
NVDA US Equity,1.5855037636281553,2.2432859552916704,2.0341446766583036
AVGO US Equity,-0.7523038894896861,-0.6888195858061784,-0.5428442169357056
TSM US Equity,0.16547479806603807,1.1368222634665361,0.49507193695714913
GOOGL US Equity,0.3600277670192102,-0.7741838793596542,-0.32839433143043806
000660 KS Equity,0.0778913440711047,-0.00518933349193415,0.08493569921142384
LRCX US Equity,0.708967911436463,0.35498993206059415,0.9993516446125952
6857 JP Equity,1.4810280513050909,1.2195835054868958,1.4944238244215111
TSEM IT Equity,-1.1693074262065448,-0.7419671311507205,-0.9300250682404372
MSFT US Equity,1.1547906117516156,-0.5474645244266353,0.6127879846074762
LITE US Equity,-1.6763778461003924,-0.2808651837402414,-0.8893227235561046
AMD US Equity,1.6268722330052088,1.3357727048314072,1.8714636004886283
FN US Equity,-0.12534702528176228,-1.5630734693638604,-1.1481820347858647
SNOW US Equity,-1.9885415917362257,-1.0607686843227062,-1.7191580629945393
MU US Equity,0.04527386760518959,1.3788861691909182,0.9416989072543958
TSLA US Equity,-0.3460921945861852,1.0329593140168385,0.06883366002672826
9984 JP Equity,-0.18175503726425735,-0.7231464163670556,-0.7417243620722992
CRDO US Equity,-1.5983369096914342,-1.289364387829217,-1.670302289054341
ENR GR Equity,0.2045358468627747,-0.27084434858813755,0.0399339289229555
MPWR US Equity,-0.6428547081717834,-0.5874950361937056,-0.6255501454752793
2383 TT Equity,0.18882807793361966,0.2403840318481336,0.058017348085141494
CLS CN Equity,0.10878787873137262,0.9294569998082879,0.5626738865920698
META US Equity,1.2298041629175076,-1.066899483422167,-0.320010625078075
AMZN US Equity,-0.4568696858050725,-0.2720594119390708,-0.34782323821527733
